cust_id,address
2011970428,株洲市荷塘区红旗中路456号嘉盛华府4栋101号门面
2011970424,株洲市天元区栗雨南路春藤小镇4栋101号
2011970393,株洲市天元区栗雨王家坪村
2011970373,株洲市芦淞区姚家坝乡梢光铺村桥背组
2011970426,株洲市石峰区响石三村18栋105号
2011970400,株洲市天元区雷打石镇胜塘村和平组29号
2011970365,株洲市石峰区株化医院门口
2011131378,株洲市芦淞区建设南路20号
2011131365,株洲市天元区庐山路136号庐山春天5栋
2011131406,株洲市石峰区田心北门新民二村12号门面
2012000397,株洲市石峰区田心
2011131367,株洲市荷塘区仙庾镇夏家塅村上荷叶组
2011130044,株洲市荷塘区新塘坡村一组
2011131748,株洲市荷塘区东环新城12栋48号
2011130054,株洲市金三角市场鞋楼一楼153号
2011130038,株洲市荷塘区东湖路佳苑小区1栋
2011130024,株洲市天元区颐景园小区1栋113室
2011131283,株洲市天元区马家河镇新马村
2011131333,株洲市荷塘区新华东路湖南煤田地质局水工环勘探队临街756号门面
2011130100,株洲市田心东门迎东商贸街A1号门面
2011130068,株洲市天元区王家坪街道73号
2011130021,株洲市天元区亲亲家园5栋1号门面
2011131287,株洲市荷塘区四三0农贸市场4号门面
2011131249,株洲市荷塘区新塘坡安置房21号
2011130101,株洲市芦淞区东景紫映10号门面
2011131749,株洲市芦淞区董家塅欣月佳园二期力源尚品1栋1号
2011130022,株洲市天元区金域天下二期5栋101号商铺
2011130052,株洲市天元区湘山路98号三兴华府龙苑1栋102室
2011130053,株洲市天元区莲花小区7栋莲031-2
2011131320,株洲市天元区三门镇喜玲商店
2011131088,株洲市石峰区清水塘株化生活区49栋2号门面
2011131257,株洲市芦淞区新芦淞服装工业园51栋1楼钱建祥私宅
2011131403,株洲市天元区渌江路760号凿石花园安置房小区9栋
2011131321,株洲市天元区株洲大道68号万家理想5栋106室
2011130087,株洲市芦淞区太子路43号湘江四季花园14栋103号
2011130027,株洲市荷塘区新华东路756号向阳村
2011131350,株洲市荷塘区荷塘铺乡荷塘铺村新店子组044号
2011129427,株洲市芦淞区五里墩乡白井村竹塘组002号
2011129426,株洲市芦淞区五里墩乡关口村西瓜组001号
2011129429,株洲市荷塘区东环新城46栋117号
2011129434,株洲市荷塘区文化路书香里3栋29号
2011129435,株洲市石峰区建设北路138号清石嘉苑1、2、3栋
2011129455,株洲市天元区珠江南路珠江丽园21栋121号
2011129453,株洲市天元区泰山西路瀚水栗源18栋14号车库
2011129449,株洲市天元区湘滨村龙形组
2011129445,株洲市芦淞区幸福村人防办1号门面
2011129442,株洲市荷塘区株洲运佳运输有限公司2、3号门面
2011129443,株洲市芦淞区五里墩乡关口村钟家湾组026号
2011129450,株洲市芦淞区株董路1368号南方印象1栋103号
